2017-18 Rank,Rank in the most recent five years,School Name,City,2017-18 Rating,Rating in the most recent five years
1/852,1/664,Master's,Calgary,10,9.9
1/852,3/664,Windsor Park,Edmonton,10,9.6
1/852,10/664,Renert,Calgary,10,9
4/852,3/664,Webber,Calgary,9.9,9.6
5/852,13/664,Sunalta,Calgary,9.6,8.8
6/852,2/664,Mount Pleasant,Edmonton,9.5,9.7
6/852,7/664,Rundle College,Calgary,9.5,9.2
6/852,9/664,Calgary French & International,Calgary,9.5,9.1
9/852,3/664,Clear Water,Calgary,9.4,9.6
9/852,6/664,Stratford,Edmonton,9.4,9.4
11/852,13/664,St. Joan of Arc,Calgary,9.3,8.8
12/852,11/664,Strathcona-Tweedsmuir,Okotoks,9.2,8.9
12/852,30/664,Briar Hill,Calgary,9.2,8.4
14/852,18/664,Jennie Elliott,Calgary,9.1,8.7
14/852,n/a,Ponoka Christian,Ponoka,9.1,n/a
16/852,13/664,Strathcona Christian,Sherwood Park,9,8.8
16/852,n/a,Delta West,Calgary,9,n/a
16/852,n/a,Gwynne,Gwynne,9,n/a
19/852,7/664,Westmount,Calgary,8.9,9.2
19/852,30/664,Louis Pasteur,Calgary,8.9,8.4
21/852,13/664,Holy Name,Calgary,8.8,8.8
21/852,25/664,Richard Secord,Edmonton,8.8,8.5
21/852,58/664,Neil M Ross,St. Albert,8.8,8
24/852,20/664,Hillhurst,Calgary,8.7,8.6
24/852,20/664,River Valley,Calgary,8.7,8.6
24/852,30/664,Meadowlark,Edmonton,8.7,8.4
24/852,n/a,St. Kateri,Fort McMurray,8.7,n/a
28/852,30/664,Westbrook,Edmonton,8.6,8.4
28/852,36/664,George H Luck,Edmonton,8.6,8.3
28/852,36/664,Good Shepherd,Okotoks,8.6,8.3
28/852,80/664,Fish Creek,Calgary,8.6,7.8
28/852,87/664,Louis Riel,Calgary,8.6,7.7
28/852,138/664,Lendrum,Edmonton,8.6,7.3
28/852,n/a,Aurora,Edmonton,8.6,n/a
28/852,n/a,Lakedell,Westerose,8.6,n/a
36/852,18/664,Earl Buxton,Edmonton,8.5,8.7
36/852,25/664,Father Doucet,Calgary,8.5,8.5
36/852,36/664,Edison,Okotoks,8.5,8.3
