Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"Master's school, Calgary, AB, Canada",10,9.9,9.9,51.03089,-114.0887
"Renert school, Calgary, AB, Canada",10,9,9,51.151742,-114.203128
"Webber school, Calgary, AB, Canada",9.9,9.6,9.6,51.046362,-114.05803
"Sunalta school, Calgary, AB, Canada",9.6,8.8,8.8,51.041345,-114.110984
"Rundle College school, Calgary, AB, Canada",9.5,9.2,9.2,51.036962,-114.193901
"Calgary French & International school, Calgary, AB, Canada",9.5,9.1,9.1,51.067969,-114.198028
"Clear Water school, Calgary, AB, Canada",9.4,9.6,9.6,51.01955,-114.121251
"St. Joan of Arc school, Calgary, AB, Canada",9.3,8.8,8.8,51.057289,-114.207721
"Briar Hill school, Calgary, AB, Canada",9.2,8.4,8.4,51.063103,-114.111437
"Jennie Elliott school, Calgary, AB, Canada",9.1,8.7,8.7,50.996212,-114.127312
"Delta West school, Calgary, AB, Canada",9,n/a,9,51.055308,-114.034909
"Westmount school, Calgary, AB, Canada",8.9,9.2,9.2,51.058345,-114.131722
"Louis Pasteur school, Calgary, AB, Canada",8.9,8.4,8.4,51.018265,-114.114073
"Holy Name school, Calgary, AB, Canada",8.8,8.8,8.8,51.02745,-114.1385
"Hillhurst school, Calgary, AB, Canada",8.7,8.6,8.6,51.05923,-114.093184
"River Valley school, Calgary, AB, Canada",8.7,8.6,8.6,51.080042,-114.173667
"Fish Creek school, Calgary, AB, Canada",8.6,7.8,7.8,50.902082,-114.033428
"Louis Riel school, Calgary, AB, Canada",8.6,7.7,7.7,50.966779,-114.132167
"Father Doucet school, Calgary, AB, Canada",8.5,8.5,8.5,50.909374,-114.085156
"Our Lady of Peace school, Calgary, AB, Canada",8.5,8.3,8.3,50.918491,-114.088437
"Rideau Park school, Calgary, AB, Canada",8.5,8.2,8.2,51.025269,-114.075605
"Alex Ferguson school, Calgary, AB, Canada",8.5,7.9,7.9,51.039296,-114.123133
"Earl Grey school, Calgary, AB, Canada",8.5,7.9,7.9,51.031169,-114.081137
"St. Boniface school, Calgary, AB, Canada",8.5,6.9,6.9,50.943414,-114.042548
"Westgate school, Calgary, AB, Canada",8.5,n/a,8.5,51.044429,-114.15915
"Trinity Christian school, Calgary, AB, Canada",8.4,8.4,8.4,50.909793,-114.063213
"Dr. E. W. Coffin school, Calgary, AB, Canada",8.4,8.2,8.2,51.103743,-114.135019
"Bearspaw Christian school, Calgary, AB, Canada",8.4,7.9,7.9,51.02972,-114.158963
"Mother Mary Greene school, Calgary, AB, Canada",8.4,7.1,7.1,51.124307,-114.139237
"Khalsa school, Calgary, AB, Canada",8.4,7,7,51.046362,-114.05803
"Guardian Angel school, Calgary, AB, Canada",8.4,n/a,8.4,51.040321,-114.216592
"St. Vincent De Paul school, Calgary, AB, Canada",8.3,8.8,8.8,51.093562,-114.158901
"Calgary Jewish school, Calgary, AB, Canada",8.3,8.5,8.5,50.993575,-114.092975
"Foundations for the Future (FFCA) school, Calgary, AB, Canada",8.3,8.2,8.2,51.069965,-114.152162
"Monsignor E. L. Doyle school, Calgary, AB, Canada",8.3,7.5,7.5,51.122454,-114.216638
"St. Gerard school, Calgary, AB, Canada",8.3,6.4,6.4,50.968458,-114.088902
"Calgary Christian school, Calgary, AB, Canada",8.2,8.2,8.2,51.02972,-114.158963
"St. Brigid school, Calgary, AB, Canada",8.2,8.2,8.2,51.146747,-114.187369
"St. Elizabeth Seton school, Calgary, AB, Canada",8.1,7.7,7.7,51.151499,-114.110422
"Woodbine school, Calgary, AB, Canada",8.1,7.7,7.7,50.936664,-114.1288
"Cambrian Heights school, Calgary, AB, Canada",8.1,6.1,6.1,51.085505,-114.088423
"Elbow Park school, Calgary, AB, Canada",8,8.6,8.6,51.01944,-114.081956
"Glamorgan school, Calgary, AB, Canada",8,8.3,8.3,51.015222,-114.145343
"St. Maria Goretti school, Calgary, AB, Canada",8,7.7,7.7,51.134854,-114.178169
"Menno Simons Christian school, Calgary, AB, Canada",7.9,7.8,7.8,51.023404,-114.18798
"St. Ambrose school, Calgary, AB, Canada",7.9,7.7,7.7,51.133372,-114.205687
"Lake Bonavista school, Calgary, AB, Canada",7.9,7.4,7.4,50.94494,-114.042107
"Monsignor A. J. Hetherington school, Calgary, AB, Canada",7.9,7.4,7.4,51.099565,-113.934167
"St. Jerome school, Calgary, AB, Canada",7.8,8,8,51.157684,-114.078846
"Capitol Hill school, Calgary, AB, Canada",7.8,7.6,7.6,51.071877,-114.103659
"St. Sebastian school, Calgary, AB, Canada",7.8,7.3,7.3,50.884764,-114.029299
"Red Deer Lake school, Calgary, AB, Canada",7.8,7.2,7.2,50.887069,-114.164518
"St. Luke school, Calgary, AB, Canada",7.7,8.3,8.3,51.090971,-114.12218
"St. Philip school, Calgary, AB, Canada",7.7,8.1,8.1,50.927905,-114.038215
"Olympic Heights school, Calgary, AB, Canada",7.7,7.9,7.9,51.045994,-114.180779
"John Costello school, Calgary, AB, Canada",7.7,7.7,7.7,51.048289,-114.180451
"Woodlands school, Calgary, AB, Canada",7.7,7.6,7.6,50.938476,-114.107661
"Christ the King school, Calgary, AB, Canada",7.7,7.5,7.5,50.887736,-113.975928
"Cardinal Newman school, Calgary, AB, Canada",7.7,7.2,7.2,50.907368,-113.988554
"Varsity Acres school, Calgary, AB, Canada",7.7,6.8,6.8,51.091255,-114.148057
"Notre-Dame de la Paix school, Calgary, AB, Canada",7.7,6.7,6.7,50.950905,-114.043332
"Rosemont school, Calgary, AB, Canada",7.7,5.9,5.9,51.077811,-114.092231
"St. Rose of Lima school, Calgary, AB, Canada",7.7,5.7,5.7,51.075799,-113.962505
"Chaparral school, Calgary, AB, Canada",7.7,n/a,7.7,50.882893,-114.044845
"Chinook Winds Adventist school, Calgary, AB, Canada",7.7,n/a,7.7,51.081408,-114.233978
"Battalion Park school, Calgary, AB, Canada",7.6,7.9,7.9,51.023548,-114.181895
"Captain John Palliser school, Calgary, AB, Canada",7.6,7.4,7.4,51.096772,-114.136366
"Heritage Christian school, Calgary, AB, Canada",7.5,7.4,7.4,51.092038,-114.009842
"St. Dominic school, Calgary, AB, Canada",7.5,7.3,7.3,51.109526,-114.154307
"St. Thomas More school, Calgary, AB, Canada",7.5,6.4,6.4,51.085556,-113.945476
"Griffith Woods school, Calgary, AB, Canada",7.5,n/a,7.5,51.030923,-114.194845
"St. Hubert school, Calgary, AB, Canada",7.4,7.7,7.7,51.11832,-114.062247
"St. Basil school, Calgary, AB, Canada",7.4,7.6,7.6,51.119236,-114.250098
"Silver Springs school, Calgary, AB, Canada",7.4,7.1,7.1,51.105734,-114.190821
"St. Joseph school, Calgary, AB, Canada",7.4,6.7,6.7,51.074614,-114.073816
"Calgary Islamic, OBK school, Calgary, AB, Canada",7.4,n/a,7.4,51.087014,-113.999698
"Our Lady of the Rosary school, Calgary, AB, Canada",7.4,n/a,7.4,51.083401,-114.19152
"Prince of Peace school, Calgary, AB, Canada",7.4,n/a,7.4,50.893316,-113.949667
"Elboya school, Calgary, AB, Canada",7.3,7.3,7.3,51.010577,-114.078008
"Our Lady of the Evergreens school, Calgary, AB, Canada",7.3,7.3,7.3,50.914776,-114.123165
"West Dalhousie school, Calgary, AB, Canada",7.3,7,7,51.111068,-114.169542
"Father James Whelihan school, Calgary, AB, Canada",7.3,6.7,6.7,50.904535,-114.046798
"Monsignor J. S. Smith school, Calgary, AB, Canada",7.3,6.3,6.3,50.941171,-113.990031
"du Nouveau-Monde school, Calgary, AB, Canada",7.3,n/a,7.3,51.111531,-114.215122
"Mayland Heights school, Calgary, AB, Canada",7.3,n/a,7.3,51.058963,-114.007229
"St. William school, Calgary, AB, Canada",7.3,n/a,7.3,51.037075,-114.043675
"Killarney school, Calgary, AB, Canada",7.2,7.9,7.9,51.027996,-114.134988
"Calgary Waldorf school, Calgary, AB, Canada",7.2,7.7,7.7,51.072283,-114.218163
"Rosedale school, Calgary, AB, Canada",7.1,8,8,51.063582,-114.081516
"Sainte Marguerite Bourgeoys school, Calgary, AB, Canada",7.1,7.5,7.5,51.011434,-114.121899
"Mother Teresa of Calcutta school, Calgary, AB, Canada",7.1,7.2,7.2,50.915377,-114.053334
"Bearspaw school, Calgary, AB, Canada",7.1,6.9,6.9,51.098288,-114.133919
"Bridlewood school, Calgary, AB, Canada",7.1,5.9,5.9,50.902363,-114.110581
"Father Scollen school, Calgary, AB, Canada",7.1,4.7,4.7,51.093019,-113.941984
"St. Sylvester school, Calgary, AB, Canada",7,7.5,7.5,51.109358,-114.194351
"Queen Elizabeth school, Calgary, AB, Canada",7,6.5,6.5,51.056988,-114.101928
"Wildwood school, Calgary, AB, Canada",7,6.4,6.4,51.051586,-114.152166
"St. Matthew school, Calgary, AB, Canada",7,6.1,6.1,50.978726,-114.058304
"Monsignor J. J. O'Brien school, Calgary, AB, Canada",6.9,7.2,7.2,50.901598,-114.103854
"Simons Valley school, Calgary, AB, Canada",6.9,7.2,7.2,51.140307,-114.107375
"St. Jude school, Calgary, AB, Canada",6.9,7.2,7.2,50.941701,-114.133161
"St. Margaret school, Calgary, AB, Canada",6.9,6.8,6.8,51.082103,-114.097596
