Schoolname,2017-2018Rating,Rating in the most recent five years,Adj5yrs,latitude,Longitude
"Windsor Park school, Edmonton, AB, Canada",10,9.6,9.6,53.524097,-113.53496
"Mount Pleasant school, Edmonton, AB, Canada",9.5,9.7,9.7,53.495861,-113.50339
"Stratford school, Edmonton, AB, Canada",9.4,9.4,9.4,53.520118,-113.584518
"Richard Secord school, Edmonton, AB, Canada",8.8,8.5,8.5,53.476901,-113.534393
"Meadowlark school, Edmonton, AB, Canada",8.7,8.4,8.4,53.526429,-113.595033
"Westbrook school, Edmonton, AB, Canada",8.6,8.4,8.4,53.475786,-113.540266
"George H Luck school, Edmonton, AB, Canada",8.6,8.3,8.3,53.473617,-113.571835
"Lendrum school, Edmonton, AB, Canada",8.6,7.3,7.3,53.491025,-113.52236
"Aurora school, Edmonton, AB, Canada",8.6,n/a,8.6,53.576552,-113.548996
"Earl Buxton school, Edmonton, AB, Canada",8.5,8.7,8.7,53.473942,-113.582436
"Parkland Immanuel school, Edmonton, AB, Canada",8.5,8.1,8.1,53.469737,-113.68492
"Khalsa school, Edmonton, AB, Canada",8.5,7.3,7.3,53.443281,-113.40871
"King Edward school, Edmonton, AB, Canada",8.4,n/a,8.4,53.541092,-113.50842
"McKernan school, Edmonton, AB, Canada",8.3,7.6,7.6,53.512999,-113.523669
"Grandview Heights school, Edmonton, AB, Canada",8.2,8.9,8.9,53.499572,-113.546584
"Virginia Park school, Edmonton, AB, Canada",8.2,8.1,8.1,53.560373,-113.448408
"George P. Nicholson school, Edmonton, AB, Canada",8.1,8.5,8.5,53.442538,-113.525722
"Meyokumin school, Edmonton, AB, Canada",8.1,8.5,8.5,53.450231,-113.428082
"Greenfield school, Edmonton, AB, Canada",8,7.7,7.7,53.472365,-113.526785
"Millwoods Christian school, Edmonton, AB, Canada",8,7.6,7.6,53.474336,-113.461724
"Constable Daniel Woodall school, Edmonton, AB, Canada",8,n/a,8,53.439638,-113.617498
"Crestwood school, Edmonton, AB, Canada",7.9,7.6,7.6,53.533927,-113.57109
