2017-18 Rank,Rank in the most recent five years,School Name,City,School Name+city,2017-18 Rating,Rating in the most recent five years,Rating in the most recent five years adj,latitude,Longitude
1/852,1/664,Master's,Calgary,"Master's school, Calgary, AB, Canada",10,9.9,9.9,51.03089,-114.0887
1/852,3/664,Windsor Park,Edmonton,"Windsor Park school, Edmonton, AB, Canada",10,9.6,,53.523997,-113.534843
1/852,10/664,Renert,Calgary,"Renert school, Calgary, AB, Canada",10,9,9,51.151742,-114.203128
4/852,3/664,Webber,Calgary,"Webber school, Calgary, AB, Canada",9.9,9.6,9.6,51.046362,-114.05803
5/852,13/664,Sunalta,Calgary,"Sunalta school, Calgary, AB, Canada",9.6,8.8,8.8,51.041345,-114.110984
6/852,2/664,Mount Pleasant,Edmonton,"Mount Pleasant school, Edmonton, AB, Canada",9.5,9.7,,,
6/852,7/664,Rundle College,Calgary,"Rundle College school, Calgary, AB, Canada",9.5,9.2,9.2,51.036962,-114.193901
6/852,9/664,Calgary French & International,Calgary,"Calgary French & International school, Calgary, AB, Canada",9.5,9.1,9.1,51.067969,-114.198028
9/852,3/664,Clear Water,Calgary,"Clear Water school, Calgary, AB, Canada",9.4,9.6,9.6,51.01955,-114.121251
9/852,6/664,Stratford,Edmonton,"Stratford school, Edmonton, AB, Canada",9.4,9.4,,,
11/852,13/664,St. Joan of Arc,Calgary,"St. Joan of Arc school, Calgary, AB, Canada",9.3,8.8,8.8,51.057289,-114.207721
12/852,11/664,Strathcona-Tweedsmuir,Okotoks,"Strathcona-Tweedsmuir school, Okotoks, AB, Canada",9.2,8.9,,,
12/852,30/664,Briar Hill,Calgary,"Briar Hill school, Calgary, AB, Canada",9.2,8.4,8.4,51.063103,-114.111437
14/852,18/664,Jennie Elliott,Calgary,"Jennie Elliott school, Calgary, AB, Canada",9.1,8.7,8.7,50.996212,-114.127312
14/852,n/a,Ponoka Christian,Ponoka,"Ponoka Christian school, Ponoka, AB, Canada",9.1,n/a,,,
16/852,13/664,Strathcona Christian,Sherwood Park,"Strathcona Christian school, Sherwood Park, AB, Canada",9,8.8,,,
16/852,n/a,Delta West,Calgary,"Delta West school, Calgary, AB, Canada",9,n/a,9,51.055308,-114.034909
16/852,n/a,Gwynne,Gwynne,"Gwynne school, Gwynne, AB, Canada",9,n/a,,,
19/852,7/664,Westmount,Calgary,"Westmount school, Calgary, AB, Canada",8.9,9.2,9.2,51.058345,-114.131722
19/852,30/664,Louis Pasteur,Calgary,"Louis Pasteur school, Calgary, AB, Canada",8.9,8.4,8.4,51.018265,-114.114073
21/852,13/664,Holy Name,Calgary,"Holy Name school, Calgary, AB, Canada",8.8,8.8,8.8,51.02745,-114.1385
21/852,25/664,Richard Secord,Edmonton,"Richard Secord school, Edmonton, AB, Canada",8.8,8.5,,,
21/852,58/664,Neil M Ross,St. Albert,"Neil M Ross school, St. Albert, AB, Canada",8.8,8,,,
24/852,20/664,Hillhurst,Calgary,"Hillhurst school, Calgary, AB, Canada",8.7,8.6,8.6,51.05923,-114.093184
24/852,20/664,River Valley,Calgary,"River Valley school, Calgary, AB, Canada",8.7,8.6,8.6,51.080042,-114.173667
24/852,30/664,Meadowlark,Edmonton,"Meadowlark school, Edmonton, AB, Canada",8.7,8.4,,,
24/852,n/a,St. Kateri,Fort McMurray,"St. Kateri school, Fort McMurray, AB, Canada",8.7,n/a,,,
28/852,30/664,Westbrook,Edmonton,"Westbrook school, Edmonton, AB, Canada",8.6,8.4,,,
28/852,36/664,George H Luck,Edmonton,"George H Luck school, Edmonton, AB, Canada",8.6,8.3,,,
28/852,36/664,Good Shepherd,Okotoks,"Good Shepherd school, Okotoks, AB, Canada",8.6,8.3,,,
28/852,80/664,Fish Creek,Calgary,"Fish Creek school, Calgary, AB, Canada",8.6,7.8,7.8,50.902082,-114.033428
28/852,87/664,Louis Riel,Calgary,"Louis Riel school, Calgary, AB, Canada",8.6,7.7,7.7,50.966779,-114.132167
28/852,138/664,Lendrum,Edmonton,"Lendrum school, Edmonton, AB, Canada",8.6,7.3,,,
28/852,n/a,Aurora,Edmonton,"Aurora school, Edmonton, AB, Canada",8.6,n/a,,,
28/852,n/a,Lakedell,Westerose,"Lakedell school, Westerose, AB, Canada",8.6,n/a,,,
36/852,18/664,Earl Buxton,Edmonton,"Earl Buxton school, Edmonton, AB, Canada",8.5,8.7,,,
36/852,25/664,Father Doucet,Calgary,"Father Doucet school, Calgary, AB, Canada",8.5,8.5,8.5,50.909374,-114.085156
36/852,36/664,Edison,Okotoks,"Edison school, Okotoks, AB, Canada",8.5,8.3,,,
36/852,36/664,Our Lady of Peace,Calgary,"Our Lady of Peace school, Calgary, AB, Canada",8.5,8.3,8.3,50.918491,-114.088437
36/852,43/664,Rideau Park,Calgary,"Rideau Park school, Calgary, AB, Canada",8.5,8.2,8.2,51.025269,-114.075605
36/852,51/664,Parkland Immanuel,Edmonton,"Parkland Immanuel school, Edmonton, AB, Canada",8.5,8.1,,,
36/852,63/664,Alex Ferguson,Calgary,"Alex Ferguson school, Calgary, AB, Canada",8.5,7.9,7.9,51.039296,-114.123133
36/852,63/664,Earl Grey,Calgary,"Earl Grey school, Calgary, AB, Canada",8.5,7.9,7.9,51.031169,-114.081137
36/852,138/664,Khalsa,Edmonton,"Khalsa school, Edmonton, AB, Canada",8.5,7.3,,,
36/852,200/664,St. Boniface,Calgary,"St. Boniface school, Calgary, AB, Canada",8.5,6.9,6.9,50.943414,-114.042548
36/852,n/a,Westgate,Calgary,"Westgate school, Calgary, AB, Canada",8.5,n/a,8.5,51.044429,-114.15915
